CON,RA,DEC
CAP,21.099167,-17.2333
CAP,20.350278,-14.7833
CAP,20.300833,-12.5333
CAP,,
CAP,21.370833,-16.8333
CAP,21.478611,-21.8167
CAP,21.444444,-22.4167
CAP,21.099167,-17.2333
CAP,,
CAP,21.099167,-17.2333
CAP,21.073333,-19.8500
CAP,20.480833,-17.8167
CAP,20.350278,-14.7833
CAP,,
CAP,21.073333,-19.8500
CAP,21.118889,-25.0000
CAP,,
CAP,20.480833,-17.8167
CAP,20.768333,-25.2667
CAP,20.863611,-26.9333
CAP,,
TUC,23.290556,-58.2333
TUC,23.998611,-65.5833
TUC,0.334444,-64.8833
TUC,0.525833,-62.9667
TUC,23.290556,-58.2333
TUC,22.308333,-60.2500
TUC,,
TUC,22.455278,-64.9500
TUC,23.290556,-58.2333
TUC,,
TRA,16.811111,-69.0333
TRA,15.919167,-63.4333
TRA,15.611944,-66.3167
TRA,15.315278,-68.6833
TRA,16.811111,-69.0333
TRA,,
TEL,18.186944,-45.9500
TEL,18.449722,-45.9667
TEL,18.529167,-45.9167
TEL,19.586944,-48.1000
TEL,19.380833,-54.4333
TEL,18.974444,-52.9333
TEL,18.480556,-49.0667
TEL,18.186944,-45.9500
